Set Pressure (psig),"1/4"", 3/8"" Stamped CFM","1/2"" Stamped CFM",Source
25,21.5,33,"Kingston Model 112CSS, Page 2"
30,24,37,"Kingston Model 112CSS, Page 2"
35,27,41,"Kingston Model 112CSS, Page 2"
40,30,46,"Kingston Model 112CSS, Page 2"
45,33,50,"Kingston Model 112CSS, Page 2"
50,36,54,"Kingston Model 112CSS, Page 2"
55,38,59,"Kingston Model 112CSS, Page 2"
60,41,63,"Kingston Model 112CSS, Page 2"
65,44,67,"Kingston Model 112CSS, Page 2"
70,47,72,"Kingston Model 112CSS, Page 2"
75,50,76,"Kingston Model 112CSS, Page 2"
80,52,80,"Kingston Model 112CSS, Page 2"
85,55,84,"Kingston Model 112CSS, Page 2"
90,58,89,"Kingston Model 112CSS, Page 2"
95,61,93,"Kingston Model 112CSS, Page 2"
100,64,97,"Kingston Model 112CSS, Page 2"
105,66,102,"Kingston Model 112CSS, Page 2"
110,69,106,"Kingston Model 112CSS, Page 2"
115,72,110,"Kingston Model 112CSS, Page 2"
120,75,114,"Kingston Model 112CSS, Page 2"
125,78,119,"Kingston Model 112CSS, Page 2"
130,80,123,"Kingston Model 112CSS, Page 2"
135,83,127,"Kingston Model 112CSS, Page 2"
140,86,132,"Kingston Model 112CSS, Page 2"
145,89,136,"Kingston Model 112CSS, Page 2"
150,92,140,"Kingston Model 112CSS, Page 2"
155,94,144,"Kingston Model 112CSS, Page 2"
160,97,148,"Kingston Model 112CSS, Page 2"
165,100,153,"Kingston Model 112CSS, Page 2"
170,103,157,"Kingston Model 112CSS, Page 2"
175,106,162,"Kingston Model 112CSS, Page 2"
180,108,166,"Kingston Model 112CSS, Page 2"
185,111,170,"Kingston Model 112CSS, Page 2"
190,114,174,"Kingston Model 112CSS, Page 2"
195,117,179,"Kingston Model 112CSS, Page 2"
200,120,183,"Kingston Model 112CSS, Page 2"
205,123,187,"Kingston Model 112CSS, Page 2"
210,125,192,"Kingston Model 112CSS, Page 2"
215,128,196,"Kingston Model 112CSS, Page 2"
220,131,200,"Kingston Model 112CSS, Page 2"
225,134,205,"Kingston Model 112CSS, Page 2"
230,137,209,"Kingston Model 112CSS, Page 2"
235,139,213,"Kingston Model 112CSS, Page 2"
240,142,217,"Kingston Model 112CSS, Page 2"
245,145,222,"Kingston Model 112CSS, Page 2"
250,148,226,"Kingston Model 112CSS, Page 2"
255,151,230,"Kingston Model 112CSS, Page 2"
260,153,235,"Kingston Model 112CSS, Page 2"
265,156,239,"Kingston Model 112CSS, Page 2"
270,159,243,"Kingston Model 112CSS, Page 2"
275,162,247,"Kingston Model 112CSS, Page 2"
280,165,252,"Kingston Model 112CSS, Page 2"
285,167,256,"Kingston Model 112CSS, Page 2"
290,170,260,"Kingston Model 112CSS, Page 2"
295,173,265,"Kingston Model 112CSS, Page 2"
300,176,269,"Kingston Model 112CSS, Page 2"
