Set Pressure (psig),"1/4"" Stamped CFM","3/8"" Stamped CFM","1/2"" Stamped CFM",Source
25,22,29,36,"Kingston Model 115, Page 2"
30,25,33,41,"Kingston Model 115, Page 2"
35,28,37,45,"Kingston Model 115, Page 2"
40,31,41,50,"Kingston Model 115, Page 2"
45,33,44,55,"Kingston Model 115, Page 2"
50,36,48,59,"Kingston Model 115, Page 2"
55,39,52,64,"Kingston Model 115, Page 2"
60,42,56,69,"Kingston Model 115, Page 2"
65,45,59,73,"Kingston Model 115, Page 2"
70,48,63,78,"Kingston Model 115, Page 2"
75,51,67,83,"Kingston Model 115, Page 2"
80,53,71,87,"Kingston Model 115, Page 2"
85,56,75,92,"Kingston Model 115, Page 2"
90,59,78,97,"Kingston Model 115, Page 2"
95,62,82,101,"Kingston Model 115, Page 2"
100,65,86,106,"Kingston Model 115, Page 2"
105,68,90,111,"Kingston Model 115, Page 2"
110,71,94,115,"Kingston Model 115, Page 2"
115,73,97,120,"Kingston Model 115, Page 2"
120,76,101,125,"Kingston Model 115, Page 2"
125,79,105,129,"Kingston Model 115, Page 2"
130,82,109,134,"Kingston Model 115, Page 2"
135,85,113,139,"Kingston Model 115, Page 2"
140,88,116,143,"Kingston Model 115, Page 2"
145,91,120,148,"Kingston Model 115, Page 2"
150,93,124,153,"Kingston Model 115, Page 2"
155,96,128,157,"Kingston Model 115, Page 2"
160,99,132,162,"Kingston Model 115, Page 2"
165,102,135,167,"Kingston Model 115, Page 2"
170,105,139,171,"Kingston Model 115, Page 2"
175,108,143,176,"Kingston Model 115, Page 2"
180,111,147,181,"Kingston Model 115, Page 2"
185,113,151,185,"Kingston Model 115, Page 2"
190,116,154,190,"Kingston Model 115, Page 2"
195,119,158,195,"Kingston Model 115, Page 2"
200,122,162,199,"Kingston Model 115, Page 2"
205,125,166,204,"Kingston Model 115, Page 2"
210,128,170,209,"Kingston Model 115, Page 2"
215,131,173,214,"Kingston Model 115, Page 2"
220,133,177,218,"Kingston Model 115, Page 2"
225,136,181,223,"Kingston Model 115, Page 2"
230,139,185,228,"Kingston Model 115, Page 2"
235,142,189,232,"Kingston Model 115, Page 2"
240,145,192,237,"Kingston Model 115, Page 2"
245,148,196,242,"Kingston Model 115, Page 2"
250,151,200,246,"Kingston Model 115, Page 2"
255,154,204,251,"Kingston Model 115, Page 2"
260,156,207,256,"Kingston Model 115, Page 2"
265,159,211,260,"Kingston Model 115, Page 2"
270,162,215,265,"Kingston Model 115, Page 2"
275,165,219,270,"Kingston Model 115, Page 2"
280,168,,,"Kingston Model 115, Page 2"
285,171,,,"Kingston Model 115, Page 2"
290,174,,,"Kingston Model 115, Page 2"
295,176,,,"Kingston Model 115, Page 2"
300,179,,,"Kingston Model 115, Page 2"
