Set Pressure (psig),"1/4"" Stamped CFM","3/8"", 1/2"" Stamped CFM","3/4"", 1"" Stamped CFM",Source
25,45,65,155,"Kingston Model 119, Page 2"
30,51,73,175,"Kingston Model 119, Page 2"
35,57,82,195,"Kingston Model 119, Page 2"
40,63,90,215,"Kingston Model 119, Page 2"
45,69,99,236,"Kingston Model 119, Page 2"
50,75,107,256,"Kingston Model 119, Page 2"
55,80,116,276,"Kingston Model 119, Page 2"
60,86,124,296,"Kingston Model 119, Page 2"
65,92,133,316,"Kingston Model 119, Page 2"
70,98,141,336,"Kingston Model 119, Page 2"
75,104,150,357,"Kingston Model 119, Page 2"
80,110,158,377,"Kingston Model 119, Page 2"
85,116,167,397,"Kingston Model 119, Page 2"
90,122,175,417,"Kingston Model 119, Page 2"
95,128,184,437,"Kingston Model 119, Page 2"
100,133,192,458,"Kingston Model 119, Page 2"
105,139,201,478,"Kingston Model 119, Page 2"
110,145,209,498,"Kingston Model 119, Page 2"
115,151,217,518,"Kingston Model 119, Page 2"
120,157,226,538,"Kingston Model 119, Page 2"
125,163,234,559,"Kingston Model 119, Page 2"
130,169,243,579,"Kingston Model 119, Page 2"
135,175,251,599,"Kingston Model 119, Page 2"
140,181,260,619,"Kingston Model 119, Page 2"
145,186,268,639,"Kingston Model 119, Page 2"
150,192,277,659,"Kingston Model 119, Page 2"
155,198,285,680,"Kingston Model 119, Page 2"
160,204,294,700,"Kingston Model 119, Page 2"
165,210,302,720,"Kingston Model 119, Page 2"
170,216,311,740,"Kingston Model 119, Page 2"
175,222,319,760,"Kingston Model 119, Page 2"
180,228,328,781,"Kingston Model 119, Page 2"
185,233,336,801,"Kingston Model 119, Page 2"
190,239,344,821,"Kingston Model 119, Page 2"
195,245,353,841,"Kingston Model 119, Page 2"
200,251,361,861,"Kingston Model 119, Page 2"
205,257,370,882,"Kingston Model 119, Page 2"
210,263,378,902,"Kingston Model 119, Page 2"
215,269,387,922,"Kingston Model 119, Page 2"
220,275,395,942,"Kingston Model 119, Page 2"
225,281,404,962,"Kingston Model 119, Page 2"
230,286,412,982,"Kingston Model 119, Page 2"
235,292,421,1003,"Kingston Model 119, Page 2"
240,298,429,1023,"Kingston Model 119, Page 2"
245,304,438,1043,"Kingston Model 119, Page 2"
250,310,446,1063,"Kingston Model 119, Page 2"
255,316,455,1083,"Kingston Model 119, Page 2"
260,322,463,1104,"Kingston Model 119, Page 2"
265,328,472,1124,"Kingston Model 119, Page 2"
270,334,480,1144,"Kingston Model 119, Page 2"
275,339,488,1164,"Kingston Model 119, Page 2"
280,345,497,1184,"Kingston Model 119, Page 2"
285,351,505,1202,"Kingston Model 119, Page 2"
290,357,514,1225,"Kingston Model 119, Page 2"
295,363,522,1245,"Kingston Model 119, Page 2"
300,369,531,1265,"Kingston Model 119, Page 2"
