Set Pressure (psig),"1/8"", 1/4"" Stamped CFM",Source
25,29,"Kingston Model KSV12 & KSV25, Page 2"
30,33,"Kingston Model KSV12 & KSV25, Page 2"
35,36,"Kingston Model KSV12 & KSV25, Page 2"
40,40,"Kingston Model KSV12 & KSV25, Page 2"
45,44,"Kingston Model KSV12 & KSV25, Page 2"
50,48,"Kingston Model KSV12 & KSV25, Page 2"
55,52,"Kingston Model KSV12 & KSV25, Page 2"
60,55,"Kingston Model KSV12 & KSV25, Page 2"
65,59,"Kingston Model KSV12 & KSV25, Page 2"
70,63,"Kingston Model KSV12 & KSV25, Page 2"
75,67,"Kingston Model KSV12 & KSV25, Page 2"
80,71,"Kingston Model KSV12 & KSV25, Page 2"
85,74,"Kingston Model KSV12 & KSV25, Page 2"
90,78,"Kingston Model KSV12 & KSV25, Page 2"
95,82,"Kingston Model KSV12 & KSV25, Page 2"
100,86,"Kingston Model KSV12 & KSV25, Page 2"
105,90,"Kingston Model KSV12 & KSV25, Page 2"
110,93,"Kingston Model KSV12 & KSV25, Page 2"
115,97,"Kingston Model KSV12 & KSV25, Page 2"
120,101,"Kingston Model KSV12 & KSV25, Page 2"
125,105,"Kingston Model KSV12 & KSV25, Page 2"
130,109,"Kingston Model KSV12 & KSV25, Page 2"
135,112,"Kingston Model KSV12 & KSV25, Page 2"
140,116,"Kingston Model KSV12 & KSV25, Page 2"
145,120,"Kingston Model KSV12 & KSV25, Page 2"
150,124,"Kingston Model KSV12 & KSV25, Page 2"
155,128,"Kingston Model KSV12 & KSV25, Page 2"
160,131,"Kingston Model KSV12 & KSV25, Page 2"
165,135,"Kingston Model KSV12 & KSV25, Page 2"
170,139,"Kingston Model KSV12 & KSV25, Page 2"
175,143,"Kingston Model KSV12 & KSV25, Page 2"
180,146,"Kingston Model KSV12 & KSV25, Page 2"
185,150,"Kingston Model KSV12 & KSV25, Page 2"
190,154,"Kingston Model KSV12 & KSV25, Page 2"
195,158,"Kingston Model KSV12 & KSV25, Page 2"
200,162,"Kingston Model KSV12 & KSV25, Page 2"
205,165,"Kingston Model KSV12 & KSV25, Page 2"
210,169,"Kingston Model KSV12 & KSV25, Page 2"
215,173,"Kingston Model KSV12 & KSV25, Page 2"
220,177,"Kingston Model KSV12 & KSV25, Page 2"
225,181,"Kingston Model KSV12 & KSV25, Page 2"
230,184,"Kingston Model KSV12 & KSV25, Page 2"
235,188,"Kingston Model KSV12 & KSV25, Page 2"
240,192,"Kingston Model KSV12 & KSV25, Page 2"
245,196,"Kingston Model KSV12 & KSV25, Page 2"
250,200,"Kingston Model KSV12 & KSV25, Page 2"
255,203,"Kingston Model KSV12 & KSV25, Page 2"
260,207,"Kingston Model KSV12 & KSV25, Page 2"
265,211,"Kingston Model KSV12 & KSV25, Page 2"
270,215,"Kingston Model KSV12 & KSV25, Page 2"
275,219,"Kingston Model KSV12 & KSV25, Page 2"
280,222,"Kingston Model KSV12 & KSV25, Page 2"
285,226,"Kingston Model KSV12 & KSV25, Page 2"
290,230,"Kingston Model KSV12 & KSV25, Page 2"
295,234,"Kingston Model KSV12 & KSV25, Page 2"
300,238,"Kingston Model KSV12 & KSV25, Page 2"
305,241,"Kingston Model KSV12 & KSV25, Page 2"
310,245,"Kingston Model KSV12 & KSV25, Page 2"
315,249,"Kingston Model KSV12 & KSV25, Page 2"
320,253,"Kingston Model KSV12 & KSV25, Page 2"
325,257,"Kingston Model KSV12 & KSV25, Page 2"
330,260,"Kingston Model KSV12 & KSV25, Page 2"
335,264,"Kingston Model KSV12 & KSV25, Page 2"
340,268,"Kingston Model KSV12 & KSV25, Page 2"
345,272,"Kingston Model KSV12 & KSV25, Page 2"
350,276,"Kingston Model KSV12 & KSV25, Page 2"
355,279,"Kingston Model KSV12 & KSV25, Page 2"
360,283,"Kingston Model KSV12 & KSV25, Page 2"
365,287,"Kingston Model KSV12 & KSV25, Page 2"
370,291,"Kingston Model KSV12 & KSV25, Page 2"
375,294,"Kingston Model KSV12 & KSV25, Page 2"
