Set Pressure (psig),"0.121"" SCFM","0.216"" SCFM","0.336"" SCFM","0.554"" SCFM","0.863"" SCFM","1.414"" SCFM",Source
3,28,50,77,127,198,325,"Kunkle Models 6933, 6934, 6935, Page 5"
4,32,57,89,146,228,374,"Kunkle Models 6933, 6934, 6935, Page 5"
6,39,70,108,178,278,456,"Kunkle Models 6933, 6934, 6935, Page 5"
8,45,80,124,205,319,523,"Kunkle Models 6933, 6934, 6935, Page 5"
10,50,89,138,228,355,582,"Kunkle Models 6933, 6934, 6935, Page 5"
15,64,114,177,292,454,744,"Kunkle Models 6933, 6934, 6935, Page 5"
20,73,131,204,336,524,858,"Kunkle Models 6933, 6934, 6935, Page 5"
25,83,148,231,381,593,972,"Kunkle Models 6933, 6934, 6935, Page 5"
30,93,166,258,425,663,1086,"Kunkle Models 6933, 6934, 6935, Page 5"
35,104,185,288,474,739,1211,"Kunkle Models 6933, 6934, 6935, Page 5"
40,114,204,317,523,815,1336,"Kunkle Models 6933, 6934, 6935, Page 5"
45,125,223,347,572,892,1461,"Kunkle Models 6933, 6934, 6935, Page 5"
50,136,242,377,621,968,1586,"Kunkle Models 6933, 6934, 6935, Page 5"
55,146,262,407,671,1045,1711,"Kunkle Models 6933, 6934, 6935, Page 5"
60,157,281,436,720,1121,1837,"Kunkle Models 6933, 6934, 6935, Page 5"
65,168,300,466,769,1197,1962,"Kunkle Models 6933, 6934, 6935, Page 5"
70,179,319,496,818,1274,2087,"Kunkle Models 6933, 6934, 6935, Page 5"
75,189,338,526,867,1350,2212,"Kunkle Models 6933, 6934, 6935, Page 5"
80,200,357,555,916,1426,2337,"Kunkle Models 6933, 6934, 6935, Page 5"
85,211,376,585,965,1503,2462,"Kunkle Models 6933, 6934, 6935, Page 5"
90,221,395,615,1014,1579,2588,"Kunkle Models 6933, 6934, 6935, Page 5"
95,232,414,645,1063,1656,2713,"Kunkle Models 6933, 6934, 6935, Page 5"
100,243,434,674,1112,1732,2838,"Kunkle Models 6933, 6934, 6935, Page 5"
105,254,453,704,1161,1808,2963,"Kunkle Models 6933, 6934, 6935, Page 5"
110,264,472,734,1210,1885,3088,"Kunkle Models 6933, 6934, 6935, Page 5"
115,275,491,764,1259,1961,3213,"Kunkle Models 6933, 6934, 6935, Page 5"
120,286,510,793,1308,2038,3339,"Kunkle Models 6933, 6934, 6935, Page 5"
125,296,529,823,1357,2114,3464,"Kunkle Models 6933, 6934, 6935, Page 5"
130,307,548,853,1406,2190,3589,"Kunkle Models 6933, 6934, 6935, Page 5"
135,318,567,883,1455,2267,3714,"Kunkle Models 6933, 6934, 6935, Page 5"
140,329,586,912,1504,2343,3839,"Kunkle Models 6933, 6934, 6935, Page 5"
145,339,606,942,1553,2420,3964,"Kunkle Models 6933, 6934, 6935, Page 5"
150,350,625,972,1602,2496,4090,"Kunkle Models 6933, 6934, 6935, Page 5"
160,371,663,1031,1700,2649,4340,"Kunkle Models 6933, 6934, 6935, Page 5"
170,393,701,1091,1798,2802,4590,"Kunkle Models 6933, 6934, 6935, Page 5"
180,414,739,1150,1897,2954,4841,"Kunkle Models 6933, 6934, 6935, Page 5"
190,436,778,1210,1995,3107,5091,"Kunkle Models 6933, 6934, 6935, Page 5"
200,457,816,1269,2093,3260,5341,"Kunkle Models 6933, 6934, 6935, Page 5"
210,478,854,1329,1291,3413,5592,"Kunkle Models 6933, 6934, 6935, Page 5"
220,500,892,1388,2289,3566,5842,"Kunkle Models 6933, 6934, 6935, Page 5"
230,521,931,1448,2387,3718,6092,"Kunkle Models 6933, 6934, 6935, Page 5"
240,543,969,1507,2485,3871,6343,"Kunkle Models 6933, 6934, 6935, Page 5"
250,564,1007,1567,2583,4024,6593,"Kunkle Models 6933, 6934, 6935, Page 5"
260,586,1045,1626,2681,4177,6843,"Kunkle Models 6933, 6934, 6935, Page 5"
270,607,1084,1686,2779,4329,7094,"Kunkle Models 6933, 6934, 6935, Page 5"
280,628,1122,1745,2877,4482,7344,"Kunkle Models 6933, 6934, 6935, Page 5"
290,650,1160,1805,2975,4635,7594,"Kunkle Models 6933, 6934, 6935, Page 5"
300,671,1198,1864,3074,4788,7845,"Kunkle Models 6933, 6934, 6935, Page 5"
